品类,产品名称,产地,省份,原始价格文本,价格(元/斤),涨跌幅(%),发布日期
榴莲,榴莲,山东济南市历城区,山东,26.21元/斤,26.21,0.0,2026-08-27
榴莲,榴莲,山东青岛市即墨区,山东,30.03元/斤,30.03,0.0,2026-08-27
榴莲,榴莲,云南大理白族自治州漾濞彝族自治县,云南,18.96元/斤,18.96,-1.91,2026-08-27
榴莲,苏丹王,广东广州市白云区,广东,41.44元/斤,41.44,0.0,2026-08-27
榴莲,金枕,河北石家庄市井陉县,河北,26.63元/斤,26.63,0.0,2026-08-27
榴莲,金枕,辽宁大连市瓦房店市,辽宁,38.32元/斤,38.32,0.0,2026-08-27
榴莲,金枕,浙江杭州市余杭区,浙江,20.56元/斤,20.56,0.0,2026-08-27
榴莲,金枕,山东济南市历下区,山东,24.65元/斤,24.65,0.0,2026-08-27
榴莲,金枕,山东济南市历城区,山东,22.27元/斤,22.27,0.0,2026-08-27
榴莲,金枕,山东青岛市即墨区,山东,24.93元/斤,24.93,0.0,2026-08-27
榴莲,金枕,湖南长沙市芙蓉区,湖南,29.04元/斤,29.04,0.0,2026-08-27
榴莲,金枕,广东广州市白云区,广东,18.19元/斤,18.19,0.0,2026-08-27
榴莲,金枕,广东广州市荔湾区,广东,23.71元/斤,23.71,0.0,2026-08-27
榴莲,金枕,广东佛山市南海区,广东,26.73元/斤,26.73,0.0,2026-08-27
榴莲,金枕,广西南宁市上林县,广西,38.4元/斤,38.4,1.35,2026-08-27
榴莲,金枕,广西南宁市兴宁区,广西,32.66元/斤,32.66,0.0,2026-08-27
榴莲,金枕,广西南宁市江南区,广西,17元/斤,17.0,0.0,2026-08-27
榴莲,金枕,广西柳州市融安县,广西,26.55元/斤,26.55,0.0,2026-08-27
榴莲,金枕,云南昆明市东川区,云南,31.51元/斤,31.51,0.0,2026-08-27
榴莲,金枕,云南昆明市五华区,云南,24.84元/斤,24.84,0.0,2026-08-27
榴莲,金枕,云南昆明市安宁市,云南,28.05元/斤,28.05,0.0,2026-08-27
榴莲,金枕,云南昆明市官渡区,云南,25.84元/斤,25.84,0.0,2026-08-27
榴莲,金枕,云南昆明市盘龙区,云南,22.71元/斤,22.71,0.0,2026-08-27
榴莲,金枕,云南西双版纳傣族自治州勐海县,云南,23.8元/斤,23.8,0.0,2026-08-27
榴莲,金枕,云南大理白族自治州大理市,云南,18.7元/斤,18.7,0.0,2026-08-27
榴莲,托曼尼,云南昆明市官渡区,云南,27.98元/斤,27.98,0.0,2026-08-27
榴莲,甲仑,云南昆明市官渡区,云南,33.59元/斤,33.59,0.0,2026-08-27
榴莲,巴掌榴莲,广东佛山市南海区,广东,22.67元/斤,22.67,0.0,2026-08-27
榴莲,巴掌榴莲,云南昆明市官渡区,云南,37.14元/斤,37.14,0.0,2026-08-27
榴莲,猫山王,山东济南市历城区,山东,26.35元/斤,26.35,0.0,2026-08-27
草莓,草莓,江苏徐州市贾汪区,江苏,7.23元/斤,7.23,0.0,2026-08-27
草莓,草莓,安徽阜阳市太和县,安徽,8.5元/斤,8.5,0.0,2026-08-27
草莓,草莓,安徽阜阳市颍东区,安徽,3.4元/斤,3.4,0.0,2026-08-27
草莓,草莓,河南郑州市中原区,河南,2.55元/斤,2.55,0.0,2026-08-27
草莓,草莓,广东广州市白云区,广东,6.8元/斤,6.8,0.0,2026-08-27
草莓,草莓,四川凉山彝族自治州德昌县,四川,2.55元/斤,2.55,0.0,2026-08-27
草莓,草莓,云南曲靖市会泽县,云南,4.25元/斤,4.25,0.0,2026-08-27
草莓,草莓,云南昭通市巧家县,云南,12.75元/斤,12.75,0.0,2026-08-27
草莓,草莓,云南大理白族自治州漾濞彝族自治县,云南,10.63元/斤,10.63,0.0,2026-08-27
草莓,红颜草莓,河北衡水市深州市,河北,8.16元/斤,8.16,0.0,2026-08-27
草莓,红颜草莓,辽宁丹东市东港市,辽宁,7.62元/斤,7.62,0.0,2026-08-27
草莓,红颜草莓,河南郑州市中牟县,河南,12.75元/斤,12.75,0.0,2026-08-27
草莓,红颜草莓,重庆市九龙坡区,重庆,10.2元/斤,10.2,0.0,2026-08-27
草莓,红颜草莓,四川广元市昭化区,四川,11.48元/斤,11.48,0.0,2026-08-27
草莓,红颜草莓,云南曲靖市会泽县,云南,8.44元/斤,8.44,-17.87,2026-08-27
草莓,甜宝草莓,山东青岛市平度市,山东,8.61元/斤,8.61,0.0,2026-08-27
草莓,奶油草莓,河北保定市顺平县,河北,4.25元/斤,4.25,0.0,2026-08-27
草莓,奶油草莓,江苏徐州市贾汪区,江苏,7.07元/斤,7.07,0.0,2026-08-27
草莓,奶油草莓,安徽阜阳市太和县,安徽,8.5元/斤,8.5,0.0,2026-08-27
草莓,奶油草莓,安徽阜阳市颍东区,安徽,8.84元/斤,8.84,0.0,2026-08-27
